Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
N/A,1716572414,chakra handbook,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572413,chakra gems,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572412,chakra for wellness,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572411,chakra for stress,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572410,chakra for spirituality,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572409,chakra for sleep,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572408,chakra for protection,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572407,chakra for peace,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572406,chakra for meditation,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572405,chakra for health,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572404,chakra for healing,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572403,chakra for grounding,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572402,chakra for energy,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572401,chakra for cleansing,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572400,chakra for beginners,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572399,chakra for balance,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572398,chakra for anxiety,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572397,chakra exercise,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572396,chakra examination,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572395,chakra evaluation,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572394,chakra encyclopedia,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572393,chakra diagram,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572392,chakra diagnosis,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572391,chakra crystal set,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572390,chakra crystal meaning,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572389,chakra crystal healing,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572388,chakra crystal guide,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572387,chakra course,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572386,chakra consultation,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572385,chakra colour guide,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572384,chakra colors,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572383,chakra color therapy,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572382,chakra color meditation,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572381,chakra color meaning,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572380,chakra color healing,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572379,chakra color balance,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572378,chakra clearing,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572377,chakra cleanse,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572376,chakra class,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572375,chakra check,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572374,chakra chart,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572373,chakra cards,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572372,chakra candles,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572371,chakra bracelet,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572370,chakra blockage,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572369,chakra blanket,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572368,chakra basics,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572367,chakra balancing,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572366,chakra balance guide,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572365,chakra assessment,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572364,chakra analysis,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572363,chakra activation,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572362,blue chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572361,blocked chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572360,balanced chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572359,anahata chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572358,aligned chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572357,ajna chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572356,active chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572355,yellow chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572354,vishuddha chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572353,violet chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572352,underactive chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572351,throat chakra crystal,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572350,throat chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572349,third eye crystal,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572348,third eye chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572347,svadhishthana chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572346,solar plexus crystal,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572345,solar plexus chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572344,sahasrara chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572343,sacral chakra crystal,EXACT,ACTIVE,2.2,1715185383,1716433556
N/A,1716572342,sacral chakra,EXACT,ACTIVE,2.2,1715185383,1716433556
