Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
N/A,1704097148,rock identifier,BROAD,ACTIVE,0.6,1120711183,1122199292
N/A,1704097147,coin identifier free app,BROAD,ACTIVE,0.6,1120711183,1122199292
N/A,1704097146,coin scanner value identifier,BROAD,ACTIVE,0.6,1120711183,1122199292
N/A,1704097145,coin snap identify coin value free,BROAD,ACTIVE,0.6,1120711183,1122199292
N/A,1576298598,ngc,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1576298597,free coin scan,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1568017722,gold coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1568017721,2 euro coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1568017680,commemorative coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1534707641,coin assprasier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1405475415,apmex,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400819,coin master,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400818,coin counter,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400817,coin game,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400816,coinio,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400815,coinsnap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400814,identify coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400813,identify coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400812,coinoscope,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400811,coin snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400810,coins value,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400809,mint,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400808,coinsnap: value guide,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400807,collectible coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400806,pcgs coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400805,pcgs,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400804,currency,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400803,medals,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400802,collection,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400801,coincollection,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400800,american numismatics,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400799,numismatic,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400798,coin app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400797,coun snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400796,coin io,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400795,coin snap value guide,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400794,coin checker,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400793,price guide u s coin values,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400792,us coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400791,pcgs price guide,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400790,coin finder,BROAD,PAUSED,0.65,1120711183,1122199292
N/A,1402400789,pcgs photograde,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400788,coinscope,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400787,coinoscope visual coin search,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400786,us coin collector,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400785,coin grading,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400784,coinsnap value guide,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400783,coin worth,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400782,icoin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400781,value of coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400780,coin values,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400779,coin scan,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400778,cion snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400777,coon snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400776,icoin identify coins value,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400775,coin identifier coin snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400774,coinid,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400773,coinin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400772,coin identifier coin checker,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400771,maktun,BROAD,PAUSED,0.65,1120711183,1122199292
N/A,1402400770,coin value identifier free,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400769,free coin identifer,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400768,coon scanner,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400767,coin price guide,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400766,coin pic identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400765,free coin id,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400764,free coin checker,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400763,penny checker,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400762,coin id app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400761,precious coin tester,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400760,coin scanner free,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400759,check coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400758,free coin value app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400757,coin value checker,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400756,coin identifer,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400755,coin prices,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400754,coin scan identify value rare,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400753,coin scope,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400752,coun scanner,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400751,coin value free,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400750,free coin scanner,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400749,penny identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400748,rare coin identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400747,coon identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400746,free coin identifier app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400745,coin identifier app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400744,rare coin app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400743,coin identifyer,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400742,coin identification coin snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400741,scan coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400740,coin scaner,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400739,coin appraiser,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400738,coin search,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400737,check coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400736,coins snap,BROAD,PAUSED,0.65,1120711183,1122199292
N/A,1402400735,coinid coin identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400734,coin tester,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400733,coin check,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400732,coun value,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400731,coin value app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400730,coin detector,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400729,free coin snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400728,snapcoin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400727,coin grader,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400726,coin collector,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400725,coinapp,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400724,scan coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400723,coun identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400722,free coin app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402400721,coinio coin identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392120,coonsnap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392119,coinsnap: coin identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392118,coin snap: coin identifier.,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392117,coin identifier - coinz,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392116,coinid - coin identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392115,coin identifier - coin snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392114,coin snap - coin identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392113,coin snap: identify coin value,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392112,coin identifier : coinscan,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402392111,coin identifier: coin id,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390808,coin reader,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390807,valor de monedas,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390806,old coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390805,coin apps,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390804,monedas,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390803,rare coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390802,identificador de monedas,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390801,penny value,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390800,coins app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390799,pcgs coinfacts coin collecting,BROAD,PAUSED,0.65,1120711183,1122199292
N/A,1402390798,coinstar,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390797,penny scanner,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390796,pingcoin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390795,coino,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390794,coinout,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390793,cion,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390792,ngc coin collecting,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390791,ping coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390790,coin evaluator,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390789,coins ap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390788,coun,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390787,coin indentifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390786,coinscan,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390785,coin hub,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390784,coin star,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390783,coin tracker,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390782,coun app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390781,moneda,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390780,coinhub,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390779,coin lookup,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390778,coin snapp,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390777,coinsnal,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390776,coinsnsp,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390775,money worth,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390774,coin recognition,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390773,old coin value,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390772,coincheck,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390771,coin pusher,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390770,coin scanner app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390769,click a snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390768,coin identifier coinscan,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390767,pcgs cert verification,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390766,value coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390765,app for coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390764,coin catalog,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390763,coin anap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390762,coin evaluation,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390761,coin trust,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390760,coin ap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390759,coinsnao,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390758,the coin app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390757,coine,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390756,scan money,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390755,currency identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390754,world coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390753,coin world,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390752,coim snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390751,consnap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390750,coin app free,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390749,coint snap,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390748,coins worth,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390747,coin free,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390746,coin ping test,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390745,coin out,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390744,coin fact,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390743,coiniverse collect coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390742,contador de monedas,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402390741,app coin,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376720,identify money,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376719,coon app,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376718,coin selling,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376717,coin ping,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376716,free coin value identifier,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376715,counscope,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376714,coinfacts pcgs,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376713,my coin collection,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376712,rare coins,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376711,coin price,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402376710,fake money detected,BROAD,ACTIVE,0.65,1120711183,1122199292
N/A,1402320643,coin master,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320642,coin collect,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320641,coin collection,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320640,coin game,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320639,coinio,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320638,identify coin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320637,coin identification,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320636,coins,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320635,coin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320634,mint,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320633,coinsnap: value guide,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320632,coin trade,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320631,collectible coin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320630,coin facts,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320629,pcgs coins,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320628,pcgs,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320627,coin value,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320626,currency,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320625,medals,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320624,collection,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320623,coincollection,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320622,american numismatics,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320621,numismatic,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320620,coin app,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320619,coun snap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320618,coin io,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320617,coin snap value guide,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320616,coin checker,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320615,price guide u s coin values,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320614,us coin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320613,pcgs price guide,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320612,coin finder,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320611,pcgs photograde,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320610,pcgs coinfacts,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320609,coinfacts,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320608,coinscope,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320607,free coin value,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320606,coinoscope visual coin search,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320605,coin collecting,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320604,coin worth,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320603,icoin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320602,value of coins,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320601,coin values,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320600,coin scan,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320599,cion snap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320598,coon snap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320597,icoin identify coins value,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320596,coin identifier coin snap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320595,coinid,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320594,coinin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320593,coin identifier free,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320592,maktun,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320591,coin value identifier free,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320590,free coin identifer,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320589,coon scanner,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320588,coin price guide,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320587,coin pic identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320586,free coin id,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320585,free coin checker,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320584,penny checker,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320583,coin id app,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320582,precious coin tester,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320581,coin scanner free,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320580,check coin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320579,free coin value app,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320578,coin value checker,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320577,coin identifer,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320576,coin scope,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320575,coun scanner,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320574,penny identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320573,rare coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320572,coon identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320571,free coin identifier app,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320570,coin identifier app,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320569,rare coin app,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320568,coin identifyer,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320567,coin identification coin snap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320566,scan coin,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320565,coin scaner,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320564,coin appraiser,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320563,coin search,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320562,check coins,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320561,coins snap,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320560,coin identify,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320559,coinid coin identifier,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320558,coin tester,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320557,coin check,EXACT,PAUSED,0.65,1120711183,1122199292
N/A,1402320556,coun value,EXACT,PAUSED,0.65,1120711183,1122199292
